gene_ID log2FC_A549 log2FC_BXPC3 log2FC_HAP1 log2FC_HT29 log2FC_K562 log2FC_MCF7 beta_cell_typeA549 beta_cell_typeBXPC3 beta_cell_typeHAP1 beta_cell_typeHT29 beta_cell_typeK562 beta_cell_typeMCF7 p_cell_typeA549 p_cell_typeBXPC3 p_cell_typeHAP1 p_cell_typeHT29 p_cell_typeK562 p_cell_typeMCF7
OAS1 -0.155771958652157 -0.0698427184946987 -2.24683932164579 -0.493733805493237 -0.640654505206269 0.185213972491998 -0.166140323028529 -0.250094899317271 -1.07520000094341 -0.707690666558699 -1.13882785434559 0.0378873564051451 6.54462259129574e-05 4.78038582474665e-33 1.76509916986717e-108 1.81705798577538e-72 2.15755858754561e-18 0.0675274103449551
SAMD9L -0.163020980077822 -0.16180412679534 NA -0.259554136463749 -0.862327834290294 0.229191155536776 -0.165109277780427 -0.354033045965816 -0.686325489463542 -0.815691404197866 -1.51766570054199 0.160492625987841 4.24425171845874e-06 7.31699266296611e-106 3.14145389731058e-11 1.91396903870797e-32 4.55181612625675e-09 1.34536520735063e-06
ZC3HAV1 -0.0945082975294291 -0.0982229570690114 -0.783694188231841 -0.167372490024716 -0.268814463204247 0.191450625749898 -0.163617882092209 -0.155954238993613 -0.278004150207254 -0.351168032487202 -0.231798228505838 0.0856252142474778 2.51565628851325e-10 2.67109360611051e-29 8.89406073197105e-92 8.17833513803475e-106 2.11272169240557e-16 6.46053973238546e-05
MT-ND5 -0.0197468673733041 0.159547563808087 -0.470977871332237 0.104230660635369 0.617612870639059 0.180004682559198 0.0773855054426458 0.0434886599827164 -0.137471981434362 -0.0158687914885574 0.244015644799151 0.0188917247706498 2.05009148044413e-06 2.41417443579246e-09 3.57069546033344e-105 0.0177976547660153 7.45203506501489e-78 0.112736361669853
WARS -0.0343389247516489 -0.459478531010746 -0.991667476119163 -0.319905361656745 -0.0899252566148976 0.206382085761949 -0.241343698202398 -0.454568959839214 -0.336634410191009 -0.292591551429035 -0.149145214589987 0.134528188883924 5.57356091687239e-12 2.70595512699777e-78 1.87918545979144e-101 2.16967029347046e-26 0.000553892270175077 2.43475263780001e-05
NUB1 -0.0574214859899402 -0.265187890096528 -0.22408996347368 -0.208197658801861 0.00447821468987647 0.139267383154606 -0.071732169292544 -0.310922653131788 -0.0616084437628354 -0.244967271631027 -0.162528953934073 0.106777613768263 0.0307667888013229 5.87519898075102e-101 0.00599161299383704 1.94176788461434e-34 1.74302490660086e-05 1.61478568536656e-06
SLFN5 0.077020222366853 -0.00588999979732729 NA -0.363179415932209 NA 0.243250194829774 0.00708104908119775 -0.152642417949031 -0.0171920402535616 -0.663162896337422 -0.643628032359746 0.0850941822693144 0.861600561656888 6.95130886985198e-18 0.810237578759557 3.5895031584879e-99 0.000744756383302462 0.00924442058632935
IFI27 -0.265204732611566 -0.162724439779126 -1.83002391818274 -0.574376041985908 -0.739768839074737 0.205527137554805 -0.207813712852582 -0.211394873807548 -0.79886749684132 -0.599312300787871 -0.719845802198552 0.0964529850020664 0.0156101898276938 5.66243936371663e-28 6.59152813928354e-98 9.63748744468245e-42 1.0895722698934e-13 0.00149936135757746
SAMD5 NA 0.930679700184089 0.28918519714786 0.158212826977261 0.127713537503478 NA 0.192068133850967 0.387368681261874 0.0307738714418168 0.0495181092802121 -0.0175086786596054 -0.1932443805515 0.211788931061934 9.73630146396331e-97 0.250312054905656 0.00795514804110826 0.561425570877616 0.284785020002408
NLRC5 -0.00650565237000506 -0.189085572050398 -1.42464591700001 -0.678395439440819 NA 0.160828985337949 -0.108295085104324 -0.339609530818134 -0.531569940003253 -0.938632904004776 -0.686499040277079 0.0859867969422457 0.00306441400666548 3.37411434500229e-60 8.66600776869575e-94 8.51778300375228e-61 0.0017105889061166 0.000133111954712708
