gene_ID,log2FC_A549,log2FC_BXPC3,log2FC_HAP1,log2FC_HT29,log2FC_K562,log2FC_MCF7,beta_cell_typeA549,beta_cell_typeBXPC3,beta_cell_typeHAP1,beta_cell_typeHT29,beta_cell_typeK562,beta_cell_typeMCF7,p_cell_typeA549,p_cell_typeBXPC3,p_cell_typeHAP1,p_cell_typeHT29,p_cell_typeK562,p_cell_typeMCF7
RANGAP1,0.110186829,0.027891743,0.106703957,0.116550701,0.247689956,0.107960634,-0.201802114,0.029755528,0.012303439,-0.069620808,-0.07820545,-0.055929417,0.023705579,0.319177391,0.750174751,0.246530664,0.174110855,0.276395151
KCNMB3,0,0.093259325,0,0,0.200110588,0.144146724,0.073058705,-0.010662818,-0.293686404,-0.201270259,-0.010710804,0.0827469,0.55930845,0.804897071,0.417919828,0.12139205,0.805838562,0.023744181
DBF4,0.05060839,0.103598722,0.104482163,0.103735732,0.119711953,-0.022251508,-0.161472122,0.021330184,0.048680532,-0.01073922,-0.093234161,-0.041487928,0.080709916,0.530044147,0.228599361,0.826298471,0.02375711,0.282579217
ORC3,0.088543585,0.000776784,0.144091876,0.130515688,0.26657242,0.098711477,0.021424487,-0.001004031,0.00899115,0.057048701,0.012798777,0.06986309,0.771652796,0.973732992,0.785389686,0.217606224,0.727368903,0.023816413
MYO18A,0.111428259,0.062174273,0.06827994,0.127854558,0.039784404,0.116524999,0.057132997,-0.037476511,-0.128508496,0.040936131,-0.013029294,-0.036455062,0.300824495,0.166820161,0.023854194,0.117201796,0.676075999,0.42578203
TSEN15,0.027237124,0.069037069,0.211027517,0.101468563,0.196009372,-0.061779716,0.026221249,0.04286401,0.031412832,0.097786277,0.021477563,-0.096331365,0.735660283,0.393501433,0.556776249,0.169281537,0.651269583,0.023882041
KCNQ1,0,0,0,0.16977447,0,0.030892021,0.016160288,0.042574286,-0.036642434,0.057518327,0.188172664,0.006596136,0.936711159,0.589213609,0.764345807,0.193002071,0.023888283,0.909008448
ARRDC3,0.070772149,0,0,-0.002936175,0.085771678,0.131088395,-0.025780537,-0.151489382,-0.046270116,-0.183269197,0.001342986,0.051482297,0.70368055,0.023905923,0.580914525,0.070797149,0.975199677,0.241157445
KIAA2026,0.184526119,0.041268245,0.00280066,0.046032657,0.19537907,0.069268281,0.036852294,-0.033146391,-0.027493762,-0.015357114,0.079443154,0.030737419,0.507270213,0.381441792,0.565604109,0.712185009,0.023923745,0.269881916
NFATC3,0.11285791,0.117668752,0.054017609,0.14804791,0.204386673,0.019346874,0.040038572,0.054866648,0.006240717,0.042582655,0.007586731,-0.013764303,0.526334297,0.02395772,0.815005034,0.252914201,0.737457837,0.601302727
TEX10,0.313278149,0.030198592,0.085032436,0.075377695,0.215188971,0.053437628,0.121142611,0.007447798,-0.007767405,-0.004596852,-0.010759618,0.023654195,0.023991284,0.757205487,0.827459439,0.921559055,0.78149799,0.481464577
ACTG1,0.254203818,-0.024706193,0.050507652,0.093765425,0.337505757,0.049562059,0.08565862,-0.037107587,-0.022646121,0.003399894,0.059113542,-0.052706749,0.029956271,0.04100995,0.463126941,0.899937467,0.103311079,0.023991384
MBTPS1,-0.05307919,0.057180477,0.088797571,0.050616546,0.219173583,0.100050555,-0.216359088,-0.000147876,-0.008895746,-0.011836033,0.042532187,0.017118513,0.024016754,0.995450559,0.821725893,0.807746528,0.228482728,0.430803589
SETD1B,0.030975943,-0.01136262,-0.072974459,0.002317014,0.170834626,-0.115410482,-0.174709871,-0.006842207,-0.059112884,-0.02311648,0.029988704,-0.085196825,0.172455338,0.829055966,0.240697729,0.659260142,0.504183684,0.024036001
AL022068.1,0,0,0,0,0,-0.042924083,0.21058444,-0.16267859,0.07953114,-0.039790704,-0.19031699,-0.094398624,0.094252169,0.037170592,0.707612641,0.861192161,0.431631502,0.024045969
SERPINE1,0.160364281,-0.083259526,0,0,0,0,0.088456965,-0.041666657,-0.240526048,0.251228767,-0.198356178,0.234018884,0.024066413,0.163181896,0.341979403,0.059861803,0.459550332,0.211870956
NUDT19,0.313190654,-0.061652927,-0.024381056,0.210252613,0.165412157,0.165125539,-0.025832322,-0.041343672,-0.137365316,0.155610746,-0.047094014,0.032548711,0.78223448,0.282388092,0.036624146,0.024090446,0.482482232,0.597045093
TRAPPC13,0.25204565,-0.054500877,0.091169823,0.0277853,0.176461095,0.030712672,0.198955443,0.005304127,0.000223243,-0.109955978,0.033194996,0.075133513,0.024107931,0.898297082,0.997048874,0.16756757,0.615969998,0.094494357
FAM117A,0,0,0,0,0.081551156,0,-0.827846031,-0.018388577,-0.044565134,-0.305111927,-0.096948798,0.076616139,0.060346879,0.907762859,0.639751395,0.158904005,0.024125564,0.400966917
TMEM63A,0.02826914,0.06851125,0.256380249,0.12712983,0.108842998,-0.047564219,-0.116291637,0.013646408,0.062348182,0.02594242,-0.093745407,-0.104092456,0.315323751,0.73582765,0.236506849,0.525256124,0.073713083,0.024149468
SH2D3A,0,0.071184247,0,0.047440015,0,0,-0.069199441,0.077087873,-0.277128096,-0.091755192,-0.446162709,-0.068049176,0.809059188,0.033203651,0.154856963,0.171798069,0.024171208,0.5034389
CCDC138,0.288540891,-0.039422959,0.053206493,0.109910832,0.090153448,0.083659708,0.124491935,-0.025295594,-0.029673334,0.011375954,0.001807843,0.06641753,0.028822376,0.294635618,0.23757854,0.75382875,0.951786626,0.024190255
ATF7,0.053551994,0.105102753,0.049450357,0.112985583,0.202692969,0.113647285,-0.169852561,0.040470678,-0.015390622,0.083099018,0.019564251,0.015757063,0.024192556,0.089906376,0.720087879,0.04837655,0.602479974,0.588122479
D0JA1,0.425220145,-0.054338221,0.067028486,0.155074994,0.228022138,0.13544773,0.095186534,-0.006364546,-0.017553685,-0.010473359,0.072476849,0.014813946,0.088561866,0.781690673,0.563660763,0.773454632,0.024197481,0.668705384
LINC01194,0,0,0,0,0.269397476,0,-0.724050777,-0.204402853,0.190366121,-0.193221225,0.010589721,-0.185343538,0.182518804,0.024200129,0.120460491,0.393363103,0.571624253,0.245300261
NUTF2,0,-0.022997794,0.152234335,0.052856824,0.150835618,0.074206464,-0.137608193,0.010302265,0.108313212,-0.026028785,-0.013073174,-0.0491076,0.376299568,0.790177717,0.024200303,0.68465517,0.828773823,0.39291744
OSTC,0,0,0.045415614,0.110782284,0.339838838,0.179787235,-0.065290963,-0.092617128,-0.058322309,-0.212855846,-0.05685989,0.11726355,0.694633041,0.155528257,0.384275583,0.024232935,0.435319694,0.106523651
ZNF786,0,0.038899397,0,0.099469739,0,0.178964061,-0.132307521,-0.074257434,-0.227675203,-0.047097737,0.017480786,0.105989223,0.379230763,0.154061367,0.024240897,0.605473537,0.843521436,0.093882288
PLCG2,0,-0.011646854,0.135616353,0,0.070817797,0.176247588,0.003603373,-0.076123889,0.136625186,0.074931306,-0.016149148,0.148742546,0.981760688,0.135169096,0.038461981,0.702251163,0.846036533,0.024250746
COL12A1,0.206810781,-0.042781609,0,0,0,0,0.141663985,0.008431429,0.232382944,-0.699043667,-0.190473079,-0.37352144,0.075619447,0.674394158,0.364710985,0.154808009,0.605554331,0.024255677
POLN,-0.102199697,-0.211521121,0.147668936,0,0.201590737,0,-0.109822741,-0.040162439,0.081077382,0.137714983,0.029505802,-0.223573604,0.201267112,0.517047108,0.116558537,0.241503809,0.66697271,0.024283982
SSR1,0.134317505,-0.102694258,0.079615195,0.116089316,0.192279367,0.140216055,0.130080741,-0.063083354,0.040313042,0.011796883,0.018219247,0.006269574,0.047829936,0.024288353,0.244117313,0.76827386,0.531387546,0.831299541
CYB5B,0.065174941,0.053261562,0.001577354,0.138313113,0.29677551,0.116824269,-0.007279809,0.012535307,-0.016008108,0.024943836,0.105545325,0.00100102,0.938036516,0.574733727,0.729252045,0.637032906,0.02431006,0.977956055
NCAPH,0.196776841,0.080483153,0.051823107,0.199374096,0.147895203,0.077726644,-0.046080125,0.078004383,0.009231775,0.061827048,-0.037048152,0.044266596,0.578763468,0.024356958,0.828153955,0.22841371,0.440071465,0.262860959
