gene_ID,log2FC_A549,log2FC_BXPC3,log2FC_HAP1,log2FC_HT29,log2FC_K562,log2FC_MCF7,beta_cell_typeA549,beta_cell_typeBXPC3,beta_cell_typeHAP1,beta_cell_typeHT29,beta_cell_typeK562,beta_cell_typeMCF7,p_cell_typeA549,p_cell_typeBXPC3,p_cell_typeHAP1,p_cell_typeHT29,p_cell_typeK562,p_cell_typeMCF7
TENM3,-0.049289447,NA,0.140130986,0.105141284,NA,NA,-0.021604017,-0.078319019,0.041664763,-0.014881749,-0.56818203,-0.212715856,0.515291778,0.467735995,0.000110212,0.306858549,0.098249011,0.01624197
ATF4,0.185184663,-0.10866161,0.181023208,-0.040050397,0.090037007,0.167540124,-0.009439043,-0.077448239,0.057841234,-0.062503186,-0.028058394,0.011879678,0.904361924,0.003498964,0.000110446,0.028771307,0.659094792,0.794308768
ITPR1,0.023930353,NA,0.092058627,NA,0.015231264,0.290933112,0.167876964,0.205584454,0.027296389,0.045974291,-0.05881148,-0.152368252,0.000774691,0.000110727,0.110460473,0.364177446,0.057825082,0.010570615
VIM,0.106343398,NA,0.048227178,NA,0.26580534,NA,0.104426804,0.240649869,0.001277126,-0.042082049,0.11006752,0.285273357,0.000110922,0.007360065,0.933526046,0.798104148,0.001153457,0.237013854
TRAK2,-0.087494711,-0.204794649,-0.053929141,0.060764269,-0.230225061,0.151596548,0.027056537,-0.114442067,-0.014239827,0.035091522,-0.067487181,-0.041294689,0.694926305,0.000111583,0.479266833,0.172120179,0.275866181,0.306781563
PCBD2,0.233796823,-0.026066756,0.186728464,0.158226448,0.260211967,0.22356989,0.113422267,-0.004738466,0.05384607,-0.007265799,0.016640619,0.000547418,0.00167917,0.838665196,0.000111705,0.705611151,0.625496951,0.981587865
GTF2IRD1,-0.385321161,0.050946013,-0.025332815,0.260812904,-0.070270955,0.168965188,-0.070879183,-0.036923042,-0.003573988,0.05882899,0.005562665,0.034975826,0.132938839,0.148926734,0.802785203,0.000111947,0.888106211,0.237607161
AHI1,0.0111564,0.099650893,0.010756434,0.216766328,0.244544866,0.146607906,0.006823223,0.072432081,0.009587375,0.009872465,0.02945513,0.009657335,0.815759264,0.000112028,0.398152575,0.533413194,0.263494956,0.655841426
CEP70,-0.125800998,0.24611761,0.199574249,0.36386483,-0.110972891,0.317912369,0.075945035,0.070312497,0.073208788,0.067470569,-0.021629223,-0.028876036,0.203423835,0.026969495,0.000112194,0.025394525,0.732821026,0.521909142
CLSPN,-0.007302447,0.091101902,-0.160741378,0.199500564,-0.080233523,0.283049369,-0.029131102,0.019382811,-0.046475402,-0.01551867,-0.092906301,0.038525485,0.576683619,0.226415365,0.000112265,0.397035683,0.004495039,0.169435389
FAM83D,NA,0.472776638,0.247885622,0.068763477,0.145388425,0.310289939,-0.003877759,0.134624432,0.082304701,-0.027438895,0.050637397,-0.010909435,0.973561263,0.000112324,0.000584503,0.362906066,0.435820421,0.868093544
ERBB3,NA,-0.102396681,NA,0.097356209,NA,0.25895778,-0.108950719,-0.119590267,-0.092328287,-0.024634215,-0.060181349,0.056161873,0.744723846,0.00011257,0.08063808,0.202092173,0.654628698,0.037211937
WWP1,-0.034514798,-0.076214973,0.068058841,0.299522556,0.178002597,0.135020238,-0.046733489,-0.004120042,0.016267681,0.049104712,0.00816966,-0.006290919,0.202399462,0.778429567,0.231803077,0.000112926,0.839601384,0.739207588
MCM2,NA,0.275334084,0.087919315,0.323114545,0.414888588,0.227916897,0.011047659,0.112168158,0.02022744,0.044614781,0.002339431,0.023694489,0.900245183,0.000113,0.171156337,0.070918283,0.975291798,0.539361478
MTHFD1L,0.006209415,0.054921462,0.107653397,0.024345272,0.147637679,0.079943107,0.054067784,0.032199922,0.032164695,-0.043500362,0.015486867,-0.022550354,0.053225796,0.029830559,0.000235023,0.00011342,0.593727605,0.426400771
RB1,0.024989831,0.189450882,-0.015325307,0.206462495,0.030380521,0.104285763,0.011875313,0.050245206,0.00746141,0.05297357,0.009382424,-0.0469394,0.775807979,0.000169498,0.513890457,0.000113435,0.824600374,0.048454133
WDR1,0.146709171,0.111939152,0.087799449,0.120482127,0.208825432,0.29149098,0.138131015,0.060511683,0.020667574,0.002036048,0.023279427,0.059766995,0.000113629,0.000647805,0.155148165,0.892703539,0.528759496,0.026504068
OS9,0.048846576,-0.06959079,-0.051544976,0.347801999,0.092635019,0.276505472,0.007816145,-0.074697784,-0.004887488,0.059808915,-0.034795523,0.06348794,0.854972395,0.000114215,0.795339921,0.009876095,0.390941322,0.000833276
BTBD9,-0.036192719,-0.019179875,-0.010847367,0.254595533,0.163952786,0.137578758,0.0242558,-0.049816742,0.003256771,0.05314658,0.046008588,-0.024946182,0.501269209,0.003250903,0.805137419,0.000114405,0.254453922,0.21184962
EEF1AKMT2,0.030651432,0.168473296,0.112107249,0.156904505,0.275256572,0.140675881,0.008925619,0.089028739,0.019112301,0.057176076,0.091762983,-0.024613639,0.86493534,0.000114648,0.215458653,0.017807708,0.037082198,0.522470977
