gene_ID;log2FC_A549;log2FC_BXPC3;log2FC_HAP1;log2FC_HT29;log2FC_K562;log2FC_MCF7;beta_cell_typeA549;beta_cell_typeBXPC3;beta_cell_typeHAP1;beta_cell_typeHT29;beta_cell_typeK562;beta_cell_typeMCF7;p_cell_typeA549;p_cell_typeBXPC3;p_cell_typeHAP1;p_cell_typeHT29;p_cell_typeK562;p_cell_typeMCF7
TBC1D8;1,269904664;0,164856077;-0,082716195;0,105344077;NA;0,027683704;0,352043095;0,094137461;-0,028361602;0,094364899;0,004828338;0,053169295;9,06E-90;0,000298788;0,414580677;0,000160638;0,96871774;0,132346985
SYNE2;0,705045816;0,197692286;0,049629644;0,02222493;0,535969896;0,136701619;0,218640902;0,097689223;0,066755499;0,028462496;0,209190784;0,052902191;2,35E-89;1,54E-06;0,006087664;0,082625419;0,034204571;0,001743061
NR3C1;0,560654401;0,065725979;NA;NA;0,070315947;0,465259499;0,196701653;0,052534842;0,311762243;0,09852245;0,012587827;0,163456705;2,78E-88;0,065525909;0,027964124;0,526786237;0,784482368;7,54E-06
EGFR;-0,583092192;-0,01034214;NA;-0,200963742;NA;-0,378323043;-0,239292644;-9,28E-06;0,222912406;-0,112797128;0,003104739;-0,194069293;7,10E-88;0,999549066;0,00282752;4,32E-10;0,981586044;0,000496428
TFPI;1,169010932;-0,339532307;NA;-0,011285165;0,212957617;0,408573785;0,292173117;-0,087423863;-0,045995168;0,047684257;0,021920196;0,162687778;1,95E-87;0,041117082;0,764978436;0,040581916;0,60004126;4,39E-06
CSGALNACT1;1,26204965;NA;NA;NA;NA;-0,156944752;0,312760019;-0,806004797;0,002259755;0,002293196;0,06810409;-0,205967479;9,48E-87;0,030654412;0,988628136;0,988768565;0,743386055;0,021461101
CHST11;-0,649514468;-1,507279576;0,111996164;-0,741443655;-0,008321715;-0,291174514;-0,218490193;-0,750682247;0,000915669;-0,53068693;-0,054618943;-0,106200618;5,09E-86;4,17E-33;0,974205081;9,20E-28;0,046215114;0,002930051
AKR1B1;1,239298818;-0,426030776;NA;NA;NA;NA;0,307797996;-0,170872776;-0,155238307;0,25957941;0,688811854;0,349054577;1,16E-85;0,024688152;0,100478627;0,247627012;0,07352732;0,147345809
TACC2;0,881467524;-0,205494801;-0,069777805;-0,002109872;NA;-0,137974341;0,254512504;-0,051415795;0,022907724;-0,04194585;-0,614796865;-0,078587649;9,49E-84;0,067389978;0,606260539;0,212574424;0,221487722;0,105790083
ROBO1;-0,162718913;NA;-0,396775088;NA;NA;1,090063745;0,001985894;0,068339795;-0,197699334;0,058643189;0,104233068;0,374332834;0,877235182;0,52373191;2,07E-26;0,434106195;0,412881131;2,97E-83
CLMN;1,9234763;0,038425139;NA;0,059878335;NA;0,441080327;0,427460467;0,01136417;0,072491162;0,041699923;-0,834493679;0,150338129;8,57E-82;0,83366142;0,41088454;0,229836139;0,319746099;7,02E-05
ADAM19;-0,88156123;NA;NA;-0,557455705;-0,094509213;NA;-0,411411977;-0,291885396;-0,155333946;-0,426155915;0,00041968;-0,19205352;1,15E-81;0,041798757;0,283022806;1,02E-22;0,995576469;0,087963868
SIK2;0,770348677;0,080339071;-0,044753803;0,009346817;0,106687857;0,050172923;0,244284414;0,006995257;-0,05944201;0,006526376;0,05528601;0,001063049;2,90E-81;0,828454343;0,123709726;0,7664837;0,223952271;0,971117854
PVT1;-0,090199619;0,143661154;0,039330643;0,013616923;0,06025445;-0,572832345;0,012308553;0,046263655;-0,018533975;0,042047753;-0,016143016;-0,308470346;0,043876902;0,007298397;0,307882632;2,67E-05;0,600524923;3,04E-81
MAML3;-0,480195013;-0,093737612;0,042376002;-0,10274569;0,082523023;0,028157619;-0,181847091;-0,041400238;-0,004593068;-0,011847207;0,130047179;-0,033126867;5,23E-81;0,345230783;0,855989502;0,431610125;0,001833363;0,208336042
DAPK1;1,190779772;0,701920871;0,089451011;-0,044670526;0,087436617;NA;0,297921768;0,197038739;0,001197847;-0,022179065;-0,021854683;0,04843998;1,18E-79;6,78E-13;0,970844139;0,325120755;0,661501277;0,660101984
CCDC80;-0,89051745;NA;NA;NA;NA;NA;-0,462688191;0,133616664;-0,107011858;0,18271016;0,113468317;0,060053544;4,59E-79;0,441924027;0,330167565;0,191743942;0,309527621;0,649669495
NHS;-0,493307869;-0,000339998;-0,053397219;-0,149720894;NA;-0,575520668;-0,166994734;0,055979865;0,06299603;-0,05070906;0,073344265;-0,276863908;8,05E-79;0,055187544;0,011904591;0,004212604;0,628827207;1,68E-16
THBS1;-0,770942213;-0,805058533;NA;-0,06707648;NA;-0,89016622;-0,440825867;-0,310879211;0,099309713;0,016875632;-0,259428208;-0,534020757;5,17E-78;8,10E-18;0,489831398;0,759174249;0,003010493;1,26E-41
KRT7;-0,562877103;-0,663874471;NA;NA;NA;-1,143821797;-0,236184153;-0,287984709;0,226394684;0,147158217;0,162440721;-0,931738997;2,85E-77;4,87E-29;0,131663592;0,215386562;0,500956801;5,61E-05
ABCC3;0,704242501;0,291455766;NA;-0,102269624;NA;-0,74805668;0,184280323;0,112668563;0,129393424;-0,026016226;0,144560453;-0,483279035;2,97E-75;0,006541252;0,220461798;0,098566985;0,417844276;2,73E-31
MAP2K6;2,267182727;NA;0,041896183;NA;NA;NA;0,447925814;-0,103734089;-0,065263738;0,368815015;0,195154384;0,121702413;4,27E-75;0,627179735;0,323559741;2,68E-07;0,694390125;0,232727744
LMCD1;-0,764087311;NA;NA;-0,03084993;NA;-0,566463301;-0,418541776;0,17924484;0,10880883;-0,000124913;-1,881382305;-0,347709473;5,05E-75;0,117772973;0,582319348;0,998554639;0,211303492;1,03E-06
CTPS1;-0,59118443;-0,16868047;0,026279324;-0,02526789;0,055352947;-0,352304007;-0,332861088;-0,043636193;-0,03392799;0,022843091;-0,023967181;-0,071930006;9,44E-75;0,168624633;0,294521431;0,470503416;0,636114704;0,071531854
ANXA4;0,75038215;0,289650041;0,041635017;0,028027005;0,190767348;-0,042585525;0,200600659;0,108688411;-0,044959075;0,049310191;0,012677784;-0,046887509;1,42E-74;0,003091689;0,333994294;0,007740178;0,848775572;0,212865104
NTN4;1,740408689;0,667329238;NA;0,114023648;NA;0,597055053;0,380198197;0,199701497;0,251667706;0,104592401;0,45628096;0,216889812;1,67E-74;3,74E-06;0,020472037;0,033210185;0,107983781;4,36E-08
IQGAP2;2,062768743;NA;0,226341792;0,370790691;0,052192447;NA;0,47028504;0,399305397;0,113967037;0,195803302;0,004358534;-0,45613352;3,72E-74;9,43E-05;1,15E-06;6,04E-08;0,931167309;0,267807358
RBM47;0,689603117;0,429870723;NA;-0,015437342;NA;0,180149469;0,227085607;0,131301497;0,342659814;0,015551979;-0,085952366;0,085010566;7,85E-74;4,81E-06;5,51E-06;0,416311768;0,490384754;6,33E-05
TGM2;-0,56561038;-0,966141082;NA;-0,203851465;NA;-0,598809092;-0,255325078;-0,416784498;0,159496561;-0,096548943;-0,014444992;-0,360405943;1,44E-73;4,63E-17;0,163970759;0,003995298;0,906714268;0,000850691
SMYD3;-0,579751585;0,061586222;0,057672477;-0,001534871;0,052579839;0,096252514;-0,17570938;0,05203979;0,017398919;0,017266596;-0,00762636;-0,006115036;4,26E-73;0,012969948;0,286393642;0,30494747;0,71449141;0,712151578
