gene_ID;log2FC_A549;log2FC_BXPC3;log2FC_HAP1;log2FC_HT29;log2FC_K562;log2FC_MCF7;beta_cell_typeA549;beta_cell_typeBXPC3;beta_cell_typeHAP1;beta_cell_typeHT29;beta_cell_typeK562;beta_cell_typeMCF7;p_cell_typeA549;p_cell_typeBXPC3;p_cell_typeHAP1;p_cell_typeHT29;p_cell_typeK562;p_cell_typeMCF7
STAT2;-0,773640949;-1,22122625;-0,951165393;-1,025003059;-0,505290901;-0,894518557;-0,463126028;-0,684063559;-0,366369685;-0,42350348;-0,235374747;-0,341706015;1,24E-44;1,98E-64;2,00E-12;2,31E-51;3,16E-06;3,11E-31
MACC1;NA;1,076667789;NA;0,475364864;-0,163872635;-0,234399704;0,174766032;0,448670403;0,082832025;0,138281068;-0,084487698;-0,046028105;0,255776424;2,64E-64;0,64055598;3,42E-24;0,034547888;0,230946297
GOLM1;-0,509083938;-1,126766095;-0,566308788;-0,444937736;NA;-0,397541766;-0,198834413;-0,570063333;-0,171102488;-0,127208635;0,108081371;-0,08183431;5,99E-11;1,09E-63;1,59E-07;1,23E-18;0,566383549;0,14546236
EFR3A;-0,307149441;-0,250130921;-0,340504364;-0,509145937;-0,086034832;-0,168551544;-0,091425602;-0,100850268;-0,130498293;-0,144415857;-0,056769113;-0,061930502;0,000803948;8,04E-05;0,000106541;2,70E-63;0,156991467;0,001705364
SP110;-0,71480538;-1,304465163;-1,64710715;-1,071145472;-1,031364056;-0,924185812;-0,326981229;-0,76276575;-0,818855664;-0,425977219;-0,532307014;-0,427705063;3,23E-16;1,18E-52;1,23E-11;3,06E-63;1,07E-05;4,35E-18
SYNE2;-0,768479799;-0,578004585;-0,528497672;-0,431341782;-0,147029759;-0,135346165;-0,352004329;-0,208415383;-0,126116883;-0,125057342;-0,058521952;-0,065855025;6,77E-62;1,87E-40;8,21E-11;7,03E-63;0,532536791;1,23E-10
USP15;-0,485231629;-0,490112608;-0,311721195;-0,647796271;-0,060613049;-0,231917505;-0,159645877;-0,199125269;-0,109112137;-0,180954488;-0,040575577;-0,077943969;1,76E-10;4,37E-18;1,38E-06;1,57E-62;0,014086826;9,01E-08
BCL2L1;0,183858417;-0,357120231;-0,018906134;0,559381212;0,099039318;-0,049089597;0,083276971;-0,127311426;0,000920544;0,146658882;0,014346089;-0,013884117;0,000547733;8,64E-07;0,984347955;5,51E-62;0,57976306;0,523406755
TAPBP;-0,911452699;-0,709948658;-1,037973;-0,680661988;-1,209079595;-0,909922941;-0,350302652;-0,404823647;-0,446717135;-0,237310028;-0,697161322;-0,347846825;9,46E-15;1,64E-21;9,16E-13;1,14E-61;1,58E-25;5,27E-48
SORL1;NA;0,844816617;-0,540435094;0,75102076;NA;NA;0,41650863;0,324784222;-0,238538084;0,172340763;-0,05025197;0,175790766;1,38E-05;1,16E-19;7,23E-06;1,36E-61;0,869786269;0,02849346
KITLG;0,419910322;0,903646437;NA;0,912010918;NA;0,027217619;0,18614813;0,330523567;0,237799576;0,218383049;0,373641166;0,056325417;4,30E-05;1,67E-21;0,002266953;1,37E-60;0,077544787;0,098601092
