gene_ID,log2FC_A549,log2FC_BXPC3,log2FC_HAP1,log2FC_HT29,log2FC_K562,log2FC_MCF7,beta_cell_typeA549,beta_cell_typeBXPC3,beta_cell_typeHAP1,beta_cell_typeHT29,beta_cell_typeK562,beta_cell_typeMCF7,p_cell_typeA549,p_cell_typeBXPC3,p_cell_typeHAP1,p_cell_typeHT29,p_cell_typeK562,p_cell_typeMCF7
KMT2C,0.123912169,0.169827644,0.121019669,0.07338423,-0.059179056,-0.502474533,0.036065553,-0.009592044,0.004840468,0.031464181,0.020771242,-0.138230951,0.099148554,0.853006938,0.901713839,0.001225418,0.370303213,2.48E-58
SVIL,-0.45034361,0.283245977,0.202646419,-0.579379579,0,-0.706101266,-0.099099928,-0.002577018,0.041934908,-0.169055786,0.049763157,-0.197773589,0.00063497,0.971011917,0.624542848,8.52E-20,0.797325347,8.96E-58
ST3GAL1,0.090397471,0.254962275,0.161109069,-0.602326484,-0.396145349,-0.22221737,-0.026110021,-0.009747417,0.044304869,-0.183723562,-0.25444453,-0.095634676,0.705208508,0.88636533,0.598570555,4.14E-57,0.011757279,6.16E-09
ROR1,-0.560289316,0.445131442,0,0.855341672,0,0,-0.112701498,0.171939604,0.065208539,0.248042292,-0.030510127,-0.040665588,6.16E-05,0.113526214,0.801116159,1.92E-56,0.8991699,0.557160861
FGD6,-0.442138788,0.161438639,0.586003253,-0.864494856,-0.510797686,-1.82005816,-0.163550965,-0.081964339,0.16864926,-0.284255715,-0.281402031,-0.46076499,5.24E-10,0.202708611,0.164209493,4.52E-33,0.000630451,2.56E-56
SDC4,-0.764414434,0.59402385,0,-1.310232384,-0.590319105,-0.316398916,-0.161765758,0.051056243,-0.401150457,-0.44372254,-0.252674969,-0.113377094,0.066274982,0.499702321,0.271288105,2.95E-56,0.117453876,0.000107136
CASC19,0.474985798,0.215666945,0,-0.595520138,0,0,0.17927822,-0.01856628,-0.419774346,-0.206082627,0.125890425,0.000731474,7.43E-05,0.800516587,0.250573209,6.12E-55,0.459845326,0.990962235
MEIS2,0.193625229,0.074005527,0.024478924,0.783261822,-0.026614573,0.457778957,0.046867291,0.013775168,-0.112166282,0.230258753,0.035146954,0.063029529,0.163709066,0.833243661,0.047117545,1.51E-54,0.350653748,0.002291994
ALDH1A1,0.829939488,0,0,0.826344729,0.568217562,0,0.225392625,0.219640865,-0.067278787,0.261891868,0.252405169,0.075629245,2.61E-39,0.504221087,0.862494427,2.95E-54,0.040133321,0.351086319
ITGAV,-0.661175514,-0.608219586,0.134728106,-0.84423155,-0.254106891,-0.495625837,-0.168996745,-0.2316056,0.135636749,-0.335264087,-0.064291235,-0.159977669,4.84E-09,0.002221444,0.119878201,1.39E-52,0.381384237,5.28E-26
MAML2,-0.293194677,-0.016399358,0.071902044,-0.057078322,-0.332507532,-1.016320128,-0.091955095,-0.075724646,-0.094018851,-0.01388133,-0.196846526,-0.249717286,0.001190171,0.244036785,0.168558818,0.400111395,1.39E-07,2.14E-51
DPY19L2P1,0.003279971,0,0,0,-0.093430681,2.082110319,-0.040446293,-47.22153784,-1.925450406,-0.041184123,-0.273452892,0.401110976,0.520690141,0.994178352,0.3133061,0.829234504,0.05192251,3.79E-51
IFNGR1,-0.463972281,0.189299679,0.174572411,-0.870173078,-0.207410247,-0.870780587,-0.197024797,0.0382578,-0.026440846,-0.348482289,-0.058620248,-0.224835389,0.000103946,0.683721215,0.87921355,4.61E-51,0.64237665,1.96E-07
RNF213,-0.584723093,0.122331212,0.018869806,-0.485917827,-0.297520643,0.173377012,-0.136543983,0.044251693,-0.041212677,-0.174243283,-0.072029687,0.003343107,5.48E-22,0.462243823,0.579103851,4.78E-51,0.126644639,0.804838655
CXCL8,-2.165339658,0,0,-1.474591657,0,0,-0.768403561,-0.254704092,-1.092100169,-0.88966767,-0.706787001,-35.20535194,4.54E-18,0.38083692,0.598565547,6.36E-51,0.017728667,0.993567001
TRAF3,-0.517392954,0.268969117,-0.079727423,-0.702430328,-0.437780652,-1.027609457,-0.142254726,0.017846323,-0.149354841,-0.198115196,-0.368002119,-0.292482134,5.36E-08,0.729907155,0.014230242,3.27E-24,1.74E-11,1.82E-50
NTRK3,1.884482643,0,0,0,0,0,0.451057947,-482.4941073,-0.692880238,0.044739715,-0.00408882,-0.053500228,2.50E-50,0.997946884,0.28327157,0.629561466,0.989649806,0.469553538
AC099850.1,0,0,0,0,0,-0.774545025,0.087388854,0.433047514,-0.159758399,0.158941849,-0.235600608,-0.210702393,0.571375734,0.092037808,0.662088814,0.057907899,0.377860432,2.75E-50
CTNND2,0,0,0,0,0,1.08419087,0.02161758,-0.113468582,0.130621842,-0.001428539,0.019496612,0.181604832,0.866577903,0.762077019,0.690494642,0.987437404,0.939746824,6.13E-50
CCND1,-0.116908763,0.088821326,0,-0.368965601,0,1.180149854,-0.006208663,-0.007028711,-1.680263574,-0.131155686,-0.453112622,0.196469952,0.837820117,0.922131037,0.166805974,1.83E-07,0.041377683,1.01E-49
TNFAIP3,-2.34605464,-0.715748132,0,-1.75848611,-1.024745772,-2.618044003,-1.087080563,-0.398959993,-0.486577966,-0.770612814,-0.672975879,-0.798348493,1.37E-49,3.37E-06,0.131009566,6.82E-17,6.27E-08,1.00E-30
PIK3R1,0.135074694,0.617903039,-0.149474798,0.307670722,-0.058207665,1.089817436,0.021637139,0.119321704,-0.024114811,0.101406263,0.045306038,0.197052146,0.713176489,0.311655388,0.85408891,1.50E-09,0.515104967,1.79E-49
FOXO1,-1.389810714,0.394119581,-0.204317587,-0.671194986,0.20920015,-1.353646184,-0.448229985,0.054898536,-0.100145234,-0.211015525,0.128069748,-0.348555091,1.59E-13,0.30441347,0.134124436,1.90E-49,0.100817045,2.41E-41
DENND5B,0.269885735,1.1503549,0.09839056,0.603326438,-0.002266796,0.588853846,0.081646224,0.223367289,0.047818841,0.203229819,0.081569467,0.098197078,0.000817901,0.058435669,0.560254869,4.28E-49,0.170977622,1.19E-06
DOCK8,0,0,0,0,-0.133921629,1.347379536,0.024485945,0.095087508,0.126556015,-0.6354538,-0.00570069,0.245723058,0.867878817,0.818885305,0.671173261,0.031694168,0.882013126,9.00E-49
MB21D2,-0.939723574,0.063498739,0.002854909,-0.109226825,0,-0.745989357,-0.293808205,-0.040102851,-0.054273723,0.007142396,0.11755519,-0.215739321,1.77E-09,0.662462744,0.501742884,0.813512742,0.510754213,1.11E-48
AKR1B1,-1.409158338,0.147411729,0,0,0,0,-0.449857215,-0.012855283,-0.045604451,0.164534795,-0.731987206,-0.262050556,4.84E-48,0.924432814,0.817474462,0.204869155,0.36067873,0.273259624
ONECUT2,0,0,0.064551119,0.76403765,0.039133526,-0.54358721,0.149101361,0.164518618,0.12001421,0.235783756,0.011641029,-0.138063623,0.223156654,0.713290374,0.28817894,5.42E-48,0.920830327,0.002800158
IGF1R,0.502592095,0.391027621,0.243100679,-0.070169462,-0.158347296,0.662705735,0.146007874,0.06299332,0.009059662,-0.003832935,-0.08132614,0.10212936,2.60E-30,0.16168824,0.839569948,0.742530747,0.163664876,5.52E-48
OAS3,-0.32319199,0.447085954,0,-0.667276384,0,-0.271248297,-0.087400662,-0.001161252,-0.301985517,-0.205810963,-0.510538186,-0.116908085,0.000115317,0.990930304,0.53697124,2.39E-47,0.019615926,0.00027905
MYB,0,0,0.0617477,0.902150483,-0.189314234,1.984715784,-0.297865252,-349.752588,0.046029663,0.28580963,-0.094846484,0.365565042,0.380893952,0.994736709,0.768594451,6.10E-16,0.035302201,3.22E-47
NEDD9,-0.107109152,-0.531071628,0,-0.805457185,0,-1.052905829,-0.050846372,-0.134445553,0.203848388,-0.208128917,0.351330689,-0.269058368,0.18097261,0.168252341,0.243446839,5.27E-15,0.140845807,5.31E-47
LYPD6B,0,-1.068213394,0,0,0,-0.855814961,-0.176285158,-0.316106553,-0.369124479,-0.181536006,-0.501385707,-0.215858068,0.550126489,0.142094304,0.156672279,0.037974288,0.314623522,5.82E-47
MAT2A,1.188537136,0.797927,0.011129287,-0.052351506,0.241875154,0.147850926,0.314169506,0.171213394,-0.051734731,0.008345574,0.063728764,0.003696142,5.85E-47,0.050250666,0.469418869,0.636126951,0.143215585,0.874835496
BCAS1,0,0,0,1.534786831,0,1.360065612,-0.197835567,-0.702039866,0.502399082,0.447485744,-0.752788113,0.199188067,0.547796398,0.125808121,0.166465506,1.18E-46,0.031424997,5.03E-14
SERINC5,1.437489222,0.179348181,0.244102736,0.075647019,-0.075347545,0.30284873,0.369808446,-0.032063892,0.118578284,0.038114501,-0.031661738,0.04138934,1.38E-46,0.660117273,0.141532121,0.009188804,0.686334175,0.017456517
TRAM1,1.266537517,0.019117541,0.186678645,-0.205180313,-0.141146883,0.105450989,0.308377256,-0.1528036,-0.065211821,-0.03110962,-0.068818482,-0.015230946,1.73E-46,0.143659643,0.61969478,0.281811707,0.410902976,0.538088213
ARHGAP42,-1.165194764,-0.212777545,0,-0.196283605,0,-1.397639871,-0.366486423,-0.079523197,-0.16483109,-0.019280877,-0.323867137,-0.370821695,2.94E-20,0.304706681,0.460015798,0.353413814,0.228031659,2.10E-46
FRMD5,-0.199692562,-0.053417003,0.171934666,-0.619764192,0,-0.37075952,-0.037927146,-0.133088638,0.058705782,-0.232590581,0.194196263,-0.121400567,0.087638153,0.070471255,0.391082633,2.67E-46,0.153022497,5.15E-10
AC112206.2,0,0,0,0,0,-0.896060125,0.014655465,-0.955854702,-0.699122684,0.086205436,-0.182108532,-0.233843912,0.936932479,0.419994916,0.311736586,0.30176046,0.445828625,4.13E-46
ABAT,0,-0.393681588,0,0,0,-0.930841236,-98.97435171,-0.353325272,0.189964576,-0.367055664,-0.254314003,-0.268966454,0.993435136,0.123952417,0.275433641,0.001120746,0.369091836,7.61E-46
GFRA1,-0.926360317,0,0,0,0,1.148052884,-0.28124302,-0.608840565,-0.016415461,-0.101033851,0.088070723,0.202162245,1.18E-06,0.228836836,0.953681217,0.172637871,0.593308447,8.38E-46
FNDC3B,-0.554234542,0.33523607,0.052918028,-0.259648039,-0.051891181,-0.652262341,-0.160326475,0.02350395,-0.036724333,-0.071473085,-0.03468701,-0.193847103,2.13E-26,0.560101423,0.459601484,1.05E-12,0.288457649,1.49E-45
PLCB1,0.295918894,0.688480166,0.168870383,0.613227755,-0.156921252,0.867080274,0.020021065,0.17861272,-0.048538752,0.173892482,0.047330557,0.145074703,0.755488064,0.012106074,0.26444636,1.64E-14,0.381231619,3.19E-45
ADAMTS6,-0.613440208,-0.454529701,0,1.39366272,-0.10942131,0,-0.128900505,-0.280848115,-0.329063502,0.371792936,-3.59E-05,0.060136757,0.020757527,0.098049979,0.215728644,3.38E-45,0.999612107,0.60243526
SQSTM1,-0.734663832,0.462577731,-0.281066814,-0.797693125,-0.500661474,-0.752031031,-0.187197921,0.142864335,-0.264065809,-0.27261452,-0.09333891,-0.208262139,1.54E-12,0.02082966,0.092435668,3.57E-45,0.111010257,2.34E-17
MX2,-0.530723142,0.809868525,0,-0.919359668,0,0,-0.183397756,0.230149472,-0.533864129,-0.361631443,0.046380698,-37.90049422,0.000264681,0.003995507,0.634297028,1.32E-44,0.919763531,0.993040704
MBOAT1,0,-0.564319462,-0.160006903,-0.447820541,-0.007854506,-0.877682828,-0.153905044,-0.156786187,-0.154718205,-0.076561732,-0.024114071,-0.242878735,0.102414641,0.290475342,0.259167512,0.115824185,0.733192833,3.09E-44
BACH1,-0.661235673,-0.004763094,0.049679087,-0.632007701,-0.137700933,-0.587140348,-0.171640962,-0.078995531,-0.023809596,-0.206512695,-0.00125781,-0.166939724,1.83E-05,0.082700961,0.681535322,4.60E-44,0.964754269,3.47E-11
OSMR,-0.175267145,0.046154707,0.012390065,0,0,-1.317244879,-0.051475956,-0.074143205,0.111239136,-0.020185828,-0.073466399,-0.367816696,0.014778922,0.192184103,0.405575218,0.85094357,0.709726204,4.95E-44
ITGB4,2.905927406,0.395068033,0,-0.173053709,0,0.799886364,0.674226354,0.059312232,0.370288037,-0.019944261,0.140563128,0.122914819,8.19E-44,0.323983867,0.308554139,0.232532443,0.691537286,1.41E-13
IRAK2,-1.539755455,0.017224853,0,-0.907140599,-1.79741117,-2.321199619,-0.582726034,-0.150359927,0.211381724,-0.32236297,-1.340207218,-0.705644165,2.87E-43,0.148140584,0.443374795,1.41E-23,1.92E-06,2.11E-23
CD44,0.014557852,0.304273428,0,0.38710798,0.098040928,-0.997687178,0.014484637,0.039706025,0.053722537,0.132327253,0.135780716,-0.252822993,0.471868007,0.454169857,0.803120168,7.22E-18,0.070852486,4.68E-43
ARHGAP24,-0.347388605,-0.090144443,0,0,-0.037533981,1.326289955,-0.064183045,-0.080861128,0.28969171,-0.020812772,-0.037984417,0.24038498,0.147541885,0.54916248,0.222067453,0.816567162,0.405412636,6.94E-43
TNFAIP2,-1.718342312,-0.302485209,0,-0.874424182,-1.101341423,-1.615568207,-0.561575647,-0.286893009,0.332462589,-0.342615244,-0.428508645,-0.485689274,9.87E-42,0.152719394,0.283513255,8.56E-20,0.000505948,4.16E-08
CYP24A1,2.228811494,0,0,0,0,0,0.535636424,-0.138633318,-1.488165817,0.0394914,-0.093498076,0.350506139,1.23E-41,0.77000522,0.281779165,0.654715484,0.793407917,1.26E-06
PLD1,-0.847862287,-0.29388955,0,0.989778129,-0.139185002,-0.830186064,-0.251163295,-0.203880209,-0.016996966,0.310024279,-0.022070394,-0.230345544,1.96E-11,0.203869647,0.956044709,2.46E-41,0.740768424,1.39E-12
PLA2R1,-0.907156846,-0.132515478,0,0.889520206,0,0,-0.285900079,-0.034578145,-0.063904749,0.277692232,-0.84088205,0.232435279,0.000139151,0.666519689,0.907464623,3.46E-41,0.327633022,3.98E-06
POF1B,0,0.871364158,0,0.644062627,0,0,0.284807049,0.210670181,0.02656608,0.207560545,-1.076166983,0.052367908,0.079234414,0.0545897,0.925594233,6.54E-41,0.31809811,0.327009059
C6orf141,-0.224153934,0.394696125,0,-0.254065796,0,-1.205316522,-0.053215223,0.103976178,0.408637164,-0.058728385,0.339197603,-0.289875804,0.249313443,0.409772013,0.023277821,0.027459353,0.214108807,1.39E-40
